"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-46.336147,-23.971773,NA,"Callichirus major"
"gbif",-40.261657,-20.266052,NA,"Callichirus major"
"gbif",-46.30874,-23.986833,NA,"Callichirus major"
"gbif",-48.633797,-26.97713,NA,"Callichirus major"
"gbif",-48.500938,-27.436637,NA,"Callichirus major"
"gbif",-40.253959,-20.27204,NA,"Callichirus major"
"gbif",-40.254056,-20.271599,NA,"Callichirus major"
"gbif",-46.369015,-23.974373,NA,"Callichirus major"
"gbif",-46.369096,-23.974642,NA,"Callichirus major"
"gbif",-46.368409,-23.973883,NA,"Callichirus major"
"gbif",-34.836199,-7.847879,NA,"Callichirus major"
"gbif",-34.836137,-7.848289,NA,"Callichirus major"
"gbif",-34.835624,-7.851408,NA,"Callichirus major"
"gbif",-34.835974,-7.849804,NA,"Callichirus major"
"gbif",-34.946528,-8.25965,NA,"Callichirus major"
"gbif",-46.308611,-23.986944,NA,"Callichirus major"
"gbif",-46.471379,-24.027724,NA,"Callichirus major"
"gbif",-38.470083,-13.01438,NA,"Callichirus major"
"gbif",-35.752029,-9.67621,NA,"Callichirus major"
"gbif",-46.202917,-23.992038,NA,"Callichirus major"
"gbif",-46.037251,-23.775603,NA,"Callichirus major"
"gbif",-47.550779,-24.746103,NA,"Callichirus major"
"gbif",-80.31604,27.46517,NA,"Callichirus major"
"gbif",-81.2312,29.7103,NA,"Callichirus major"
"gbif",-81.20953,29.66244,NA,"Callichirus major"
"gbif",-90.068407,29.178285,NA,"Callichirus major"
"gbif",-94.7,29.333333,NA,"Callichirus major"
"gbif",-94.666667,29.5,NA,"Callichirus major"
"gbif",-40.135556,-19.959107,NA,"Callichirus major"
"gbif",-46.255555,-23.998459,NA,"Callichirus major"
"gbif",-80.045,26.7783,NA,"Callichirus major"
"gbif",-80.3033,27.47,NA,"Callichirus major"
"gbif",-80.4567,27.88,NA,"Callichirus major"
"gbif",-46.442735,-24.020437,NA,"Callichirus major"
"gbif",-80.2967,27.4717,NA,"Callichirus major"
"gbif",-80.3133,27.4633,NA,"Callichirus major"
"gbif",-46.346434,-23.969224,NA,"Callichirus major"
"gbif",-80.3117,27.4617,NA,"Callichirus major"
"gbif",-46.37,-23.93,NA,"Callichirus major"
"gbif",-80.1583,27.1817,NA,"Callichirus major"
"gbif",-80.3067,27.47,NA,"Callichirus major"
"gbif",-80.45,27.86,NA,"Callichirus major"
"gbif",-80.305,27.47,NA,"Callichirus major"
"gbif",-80.1733,27.175,NA,"Callichirus major"
"gbif",-94.716667,29.333333,NA,"Callichirus major"
"gbif",-89.9268,29.2875,NA,"Callichirus major"
"gbif",-50.233889,-30.258611,NA,"Callichirus major"
